Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
BD21_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BD21_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,195
BD21_2021_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,218
BD21_2022_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,892,,,,,,,,,,,,941
BD21_2022_2,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,24,,,,,,32,,,,,,,,,,,,,,,0,,,,,,,,,,8371,,,,,,,,,,,,8436
BD21_2022_3,,,,,,,11,,,,,,,,,,,,,,,,,,,,0,,,,,12,,,,,,,,,,,,,10,,,,,,7,,,,,,,,,23,,,,,,,,,,5857,,,,,,,,,,,,5920
BKR07_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BKR07_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0
BKR07_2021_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BKR07_2022_1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,10,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,25
BKR07_2022_2,,,,,0,,,,,,,,,,,,0,,,,,,,,,8,,,,,,0,,,,,,,,,8,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,0,0,,,,,,21
BKR07_2022_3,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,,,1728,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1730
BKR10_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BKR10_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,2,,,,,13
BKR10_2021_3,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,5,,0,,,,,,427
BKR10_2022_1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,30,,,,,,258
BKR10_2022_2,,,,,0,,181,,,,,,0,,,,,,,,,,,,,0,,,,,,13,,32,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,,,,,12,,,,,,617
BKR10_2022_3,,,,,,,94,,,,,,,,,,,,,,,,,,3,,,,,,,147,,2,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,479,,,,,,,,,,,,739
GYP01_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
GYP01_2021_2,,,,,,,,,,198,,,,,,,,,,,,,,,,6,,,,,,,,0,,1,,24,167,,22,,15,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,443
GYP01_2021_3,0,,,,5,,116,,,,,0,,,,,,,,,,,,,,5,,,,,,,,,3,11,,5,17,,1,,37,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,0,,1,,,,201
GYP01_2022_1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,24,,1,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,0,,,,,,12,,,,,,50
