Tyear,GrpTyear,Tyear_quad,Site,Siteold,Year,Round,Quad,Image,Species,Len,Area,,
IRC23_2021_1,IRC23_2021,IRC23_2021_1_5,IRC23,IRC-23,2021,1,5,,BRATOU,11.174,42.184,,
IRC23_2021_1,IRC23_2021,IRC23_2021_1_5,IRC23,IRC-23,2021,1,5,,BRATOU,10.47,41.157,,
IRC23_2021_1,IRC23_2021,IRC23_2021_1_5,IRC23,IRC-23,2021,1,5,,BRATOU,10.274,31.605,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7874,MEDPOL,10.257,63.621,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7875,MEDPOL,10.785,70.566,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7877,MEDPOL,12.084,86.284,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7878,EROCIC,13.025,75.18,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7879,EROCIC,12.808,72.445,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7880,EROCIC,12.637,66.509,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_45,IRC13,IRC-13,2021,1,45,7881,EROCIC,13.151,64.275,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7888,PHAPAR,29.81,796.206,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7890,PHAPAR,28.91,641.776,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7889,PHAPAR,28.015,771.454,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7891,EROCIC,11.268,57.87166667,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7892,MEDPOL,7.204,39.04,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7894,MEDPOL,10.445,57.038,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7896,MEDPOL,9.478,51.428,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7897,MEDPOL,13.791,92.516,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_40,IRC13,IRC-13,2021,1,40,7898,MEDPOL,9.113,61.362,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_35,IRC13,IRC-13,2021,1,35,7904,MEDPOL,11.695,81.586,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_35,IRC13,IRC-13,2021,1,35,7905,MEDPOL,10.537,64.853,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_35,IRC13,IRC-13,2021,1,35,7906,MEDPOL,9.261,58.19,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_30,IRC13,IRC-13,2021,1,30,7913,PHAPAR,27.395,609.643,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_30,IRC13,IRC-13,2021,1,30,7914,EROCIC,11.155,29.593,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_30,IRC13,IRC-13,2021,1,30,7915,EROCIC,9.49,39.375,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_30,IRC13,IRC-13,2021,1,30,7916,EROB,13.84,131.695,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7924,CRY,6.571,25.003,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7924,CRY,7.447,28.826,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7924,CRY,7.814,37.6,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7926,CRY,6.841,30.257,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7926,CRY,6.859,30.434,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7927,CRY,6.724,29.76,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7928,CRY,8.752,50.19,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7929,PHAPAR,29.416,576.961,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7930,PHAPAR,28.692,511.552,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_25,IRC13,IRC-13,2021,1,25,7932,PHAPAR,27.011,484.634,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7946,PHAPAR,29.41,562.57,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7947,PHAPAR,27.413,502.566,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7948,PHAPAR,31.288,606.858,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7949,PHAPAR,27.84,505.214,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7950,CRY,8.257,43.804,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7950,CRY,6.116,25.848,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7950,CRY,7.418,44.176,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7951,CRY,6.921,30.614,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7952,CRY,6.313,32.043,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7953,PHAPAR,27.614,508.096,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_20,IRC13,IRC-13,2021,1,20,7954,PHAPAR,26.819,467.886,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_15,IRC13,IRC-13,2021,1,15,7956,PHAPAR,26.911,478.272,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_15,IRC13,IRC-13,2021,1,15,7957,PHAPAR,30.535,666.43,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_15,IRC13,IRC-13,2021,1,15,7958,PHAPAR,22.691,361.254,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_15,IRC13,IRC-13,2021,1,15,7960,CRY,7.305,39.588,,
IRC13_2021_1,IRC13_2021,IRC13_2021_1_10,IRC13,IRC-13,2021,1,10,7961,MEDPOL,7.155,33.163,,
