Tyear,GrpTyear,Site,Year,Date,Round,Quad,Image,Species,Len,Area
IRC23_2021_1,IRC23_2021,IRC23,2021,03/18,1,5,,BRATOU,11.174,42.184
IRC23_2021_1,IRC23_2021,IRC23,2021,03/18,1,5,,BRATOU,10.470,41.157
IRC23_2021_1,IRC23_2021,IRC23,2021,03/18,1,5,,BRATOU,10.274,31.605
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7874,MEDPOL,10.257,63.621
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7875,MEDPOL,10.785,70.566
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7877,MEDPOL,12.084,86.284
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7878,EROCIC,13.025,75.180
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7879,EROCIC,12.808,72.445
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7880,EROCIC,12.637,66.509
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,45,7881,EROCIC,13.151,64.275
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7888,PHAPAR,29.810,796.206
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7890,PHAPAR,28.910,641.776
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7889,PHAPAR,28.015,771.454
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7891,EROCIC,11.268,57.872
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7892,MEDPOL,7.204,39.040
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7894,MEDPOL,10.445,57.038
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7896,MEDPOL,9.478,51.428
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7897,MEDPOL,13.791,92.516
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,40,7898,MEDPOL,9.113,61.362
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,35,7904,MEDPOL,11.695,81.586
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,35,7905,MEDPOL,10.537,64.853
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,35,7906,MEDPOL,9.261,58.190
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,30,7913,PHAPAR,27.395,609.643
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,30,7914,EROCIC,11.155,29.593
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,30,7915,EROCIC,9.490,39.375
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,30,7916,EROB,13.840,131.695
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7924,CRY,4.912,25.003
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7924,CRY,5.920,28.826
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7924,CRY,7.814,37.600
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7925,PHAPAR,,
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7926,CRY,6.841,30.257
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7926,CRY,6.859,30.434
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7927,CRY,6.724,29.760
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7928,CRY,8.752,50.190
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7929,PHAPAR,29.416,576.961
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7930,PHAPAR,28.692,511.552
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,25,7932,PHAPAR,27.011,484.634
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7946,PHAPAR,29.410,562.570
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7947,PHAPAR,27.413,502.566
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7948,PHAPAR,31.288,606.858
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7949,PHAPAR,27.840,505.214
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7950,CRY,8.257,43.804
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7950,CRY,6.116,25.848
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7950,CRY,7.418,44.176
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7951,CRY,6.921,30.614
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7952,CRY,6.313,32.043
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7953,PHAPAR,27.614,508.096
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,20,7954,PHAPAR,26.819,467.886
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,15,7956,PHAPAR,26.911,478.272
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,15,7957,PHAPAR,30.535,666.430
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,15,7958,PHAPAR,22.691,361.254
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,15,7960,CRY,7.305,39.588
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,10,7961,MEDPOL,7.155,33.163
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,10,7962,MEDPOL,6.588,27.244
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,10,7963,MEDPOL,6.972,33.468
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7970,PHAPAR,31.384,609.970
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7971,PHAPAR,23.873,471.656
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7972,CRY,5.640,20.459
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7972,CRY,4.389,13.929
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7973,CRY,5.799,24.657
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7974,EROCIC,8.984,36.785
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,5,7975,PHAPAR,27.575,445.247
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7981,EROCIC,8.292,36.667
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7982,EROCIC,8.271,32.877
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7983,MEDPOL,17.985,
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,0,8133,DICCAP,16.557,
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,10,8159,CLAPER,3.645,8.685
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,10,8160,CLAPER,3.323,6.070
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,15,8174,CLAPER,4.827,12.472
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,15,8176,CLAPER,4.702,14.076
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8194,CLAPER,4.912,15.574
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8195,CLAPER,5.162,16.058
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8196,CLAPER,4.325,12.231
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,45,8259,EROCIC,12.781,70.124
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,45,8260,EROCIC,7.205,24.914
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8294,EROCIC,12.940,72.084
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8295,EROCIC,15.279,79.623
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8296,ESCCAL,26.085,1035.022
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8298,EROCIC,11.556,34.794
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8348,SISBEL,21.441,232.728
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8349,SISBEL,22.482,216.330
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8350,SISBEL,21.739,191.430
