Transect,Status,Lat,Long,Aspect,SlopeD,SlopeP
BD21,U,33.772589,-117.684331,62,27,52
BKR07,U,33.75453,-117.67253,0,0,0
BKR10,U,33.7594,-117.67177,212,5,9
GYP01,M,33.83584,-117.71474,25,21,39
GYP02,M,33.8387,-117.70922,350,12,21
GYP04,U,33.84526,-117.70396,278,10,17
GYP08,U,33.84832,-117.70254,26,15,27
GYP09,U,33.84882,-117.70251,334,28,53
I02,M,33.79931,-117.74178,182,8,14
I08,U,33.83521,-117.68352,80,19,34
I14,U,33.79383,-117.72003,0,0,0
I15,M,33.81712,-117.70919,68,12,21
I20,U,33.83474,-117.68435,27,9,20
I40,M,33.82975,-117.69362,308,17,31
I50,M,33.82775,-117.6982,34,9,16
IRC01,B,33.73867167,-117.700655,3,14,25
IRC08,B,33.7424692,-117.7010743,110,15,27
IRC13,B,33.6989,-117.692,201,25,47
IRC23,B,33.7583487,-117.71335,240,16,28
SS03,B,33.75008,-117.71372,50,9,19
SS04,B,33.74988,-117.7137,306,10,17
SS05,B,33.750802,-117.71258,254,20,36
